nama_instansi,nama_satuan_kerja,tahun_anggaran,cara_pengadaan,metode_pengadaan,jenis_pengadaan,nama_paket,kode_rup,sumber_dana,produk_dalam_negeri,total_nilai
PROVINSI DKI JAKARTA,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU - 2.18.0.00.0.00.01.0000,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Belanja Jasa Tenaga Pelayanan Umum Customer Relation Officer-99-S2,61971671,APBD,Ya,88560225
PROVINSI DKI JAKARTA,KELURAHAN MAMPANG PRAPATAN - JAKSEL - 7.01.0.00.0.00.04.0031,2026,Penyedia,E-Purchasing,Barang,Penyediaan Peralatan dan Perlengkapan kerja lapangan PPSU (Belanja Alat/Bahan untuk Kegiatan Kantor-Alat/Bahan untuk Kegiatan Kantor Lainnya),63465038,APBD,Ya,31614240
PROVINSI DKI JAKARTA,"DINAS PEMBERDAYAAN, PERLINDUNGAN ANAK DAN PENGENDALIAN PENDUDUK - 2.08.2.14.0.00.01.0000",2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Penyediaan Jasa Tenaga Ahli Video Editor Semester II,65589680,APBD,Ya,122100000
PROVINSI DKI JAKARTA,PUSAT DATA DAN INFORMASI PERENCANAAN PEMBANGUNAN - 5.01.0.00.0.00.01.0008,2026,Penyedia,Pengadaan Langsung,Jasa Lainnya,Penyediaan Jasa Lainnya Perorangan Desain Grafis 3,67294939,APBD,Ya,63250000
PROVINSI DKI JAKARTA,KELURAHAN JATINEGARA - JAKTIM - 7.01.0.00.0.00.05.0069,2026,Penyedia,E-Purchasing,Barang,Penyediaan Kesekretariatan LMK - Penyediaan Makanan dan Minuman Rakoor Mingguan LMK,63297991,APBD,Ya,29216000
PROVINSI DKI JAKARTA,SUKU DINAS SUMBER DAYA AIR KOTA ADMINISTRASI JAKARTA BARAT - 1.03.0.00.0.00.02.0003,2026,Penyedia,E-Purchasing,Barang,Pengadaan Bahan Material Pemeliharaan Drainase (Pasir Beton),67313721,APBD,Ya,224999775
PROVINSI DKI JAKARTA,PUSAT PELATIHAN KERJA DAERAH - JAKBAR - 2.07.3.32.3.29.01.0009,2026,Penyedia,Dikecualikan,Jasa Lainnya,Belanja Jasa Konsultansi Berorientasi Layanan-Jasa Khusus,63470562,APBD,Ya,150000000
PROVINSI DKI JAKARTA,"SUKU DINAS  PERINDUSTRIAN, PERDAGANGAN, KOPERASI, USAHA KECIL DAN MENENGAH KOTA - JAKBAR - 3.31.3.30.2.17.01.0003",2026,Penyedia,Dikecualikan,Jasa Lainnya,Penyediaan jasa perizinan KDO - Roda Dua,66306255,APBD,Ya,389500
PROVINSI DKI JAKARTA,"SUDIN PEMBERDAYAAN, PERLINDUNGAN ANAK DAN PENGENDALIAN PENDUDUK - JAKBAR - 2.08.2.14.0.00.01.0003",2026,Swakelola,-,-,"Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia Aktivitas Sosialisasi BKR",42364769,APBD,-,3000000
PROVINSI DKI JAKARTA,KELURAHAN RAWA TERATE - JAKTIM - 7.01.0.00.0.00.05.0070,2026,Penyedia,Dikecualikan,Jasa Lainnya,Iuran Jaminan Kematian bagi PPPK Paruh Waktu,65728542,APBD,Ya,777168
PROVINSI DKI JAKARTA,RUMAH SAKIT UMUM DAERAH SAWAH BESAR - 1.02.0.00.0.00.01.0065,2026,Penyedia,Pengadaan Langsung,Barang,Belanja BMHP Non Ekatalog,63965226,BLUD,Ya,80594864
PROVINSI DKI JAKARTA,SUKU DINAS PERHUBUNGAN KOTA ADMINISTRASI JAKARTA SELATAN - 2.15.0.00.0.00.01.0004,2026,Penyedia,E-Purchasing,Jasa Lainnya,Penyediaan sewa mesin fotokopi ,64060416,APBD,Ya,68225696
PROVINSI DKI JAKARTA,"SUDIN PEMBERDAYAAN, PERLINDUNGAN ANAK DAN PENGENDALIAN PENDUDUK - JAKSEL - 2.08.2.14.0.00.01.0004",2026,Penyedia,Pengadaan Langsung,Barang,Belanja Hadiah yang Bersifat Perlombaan Lomba Teknologi Unggulan Tingkat Kota/Kabupaten,64953841,APBD,Ya,11385360
PROVINSI DKI JAKARTA,KELURAHAN RAWA BADAK SELATAN - JAKUT - 7.01.0.00.0.00.02.0024,2026,Penyedia,E-Purchasing,Barang,Penyediaan Konsumsi Pelaksanaan Majlis Taklim,62061393,APBD,Ya,5940000
PROVINSI DKI JAKARTA,RUMAH SAKIT UMUM DAERAH KALIDERES - 1.02.0.00.0.00.01.0072,2026,Penyedia,Dikecualikan,Jasa Lainnya,Belanja Jasa Tenaga Kesehatan APBD,64022521,APBD,Ya,19008051372
PROVINSI DKI JAKARTA,"SUKU DINAS  PERINDUSTRIAN, PERDAGANGAN, KOPERASI, USAHA KECIL DAN MENENGAH KOTA - JAKUT - 3.31.3.30.2.17.01.0002",2026,Penyedia,E-Purchasing,Jasa Lainnya,Penyelenggaraan Bazar UKM di Wilayah Jakarta Utara - Penyelenggaraan Bazar UKM Tingkat Kota (Outdoor),64494533,APBD,Ya,73418151
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pengadaan Langsung,Jasa Konsultansi,"Angka Kebutuhan Nyata Operasi dan Pemeliharaan (AKNOP) RLS Pondok Ranggon, RLS Lebak Bulus, dan RLS Brigif Tahun 2026",65020798,APBD,Ya,94405500
