nama_instansi,nama_satuan_kerja,tahun_anggaran,cara_pengadaan,metode_pengadaan,jenis_pengadaan,nama_paket,kode_rup,sumber_dana,produk_dalam_negeri,total_nilai,jumlah_paket_realisasi,total_realisasi,persentase_realisasi,status_realisasi
PROVINSI DKI JAKARTA,"DINAS CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0000",2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Jasa Konstruksi Pembangunan Gedung Batavia Dinas Teknis Jatibaru,64127442,APBD,Ya,303211680659,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Pekerjaan Konstruksi Jaringan Pipa Air Limbah Jakarta Sewerage Development Project Zone 1 Paket 5 (Area 2-1),64853880,APBD,Ya,290760927966,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,RUMAH SAKIT UMUM DAERAH KOJA - 1.02.0.00.0.00.01.0057,2026,Penyedia,Dikecualikan,Barang,Belanja Barang dan Jasa BLUD (BLUD TA 2026)Rev I,66150672,BLUD,Ya,274694869081,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,2026,Penyedia,Dikecualikan,Jasa Lainnya,Belanja Barang dan Jasa BOSP-BOS Reguler Penyediaan Bantuan Operasional Sekolah (BOS) Reguler Jenjang SD Negeri,65152849,APBD,Ya,265104724828,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.01.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Pelaksanaan Fisik Pembangunan Rumah Susun Padat Karya Tahap II,64600504,APBD,Ya,260817304784,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS BINA MARGA - 1.03.0.00.0.00.01.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Pekerjaan Konstruksi Terintegrasi Rancang dan Bangun Flyover (FO) Latumeten,64452717,APBD,Ya,233624094748,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS BINA MARGA - 1.03.0.00.0.00.01.0000,2026,Penyedia,Dikecualikan,Jasa Lainnya,Pembayaran Rekening Listrik PJU,64665982,APBD,Ya,226600000000,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,2026,Penyedia,Dikecualikan,Jasa Lainnya,Belanja Modal Peralatan dan Mesin BOSP-BOS Reguler Penyediaan Bantuan Operasional Sekolah (BOS) Reguler Jenjang SD Negeri,65153812,APBD,Ya,223775937643,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,2026,Penyedia,Tender,Pekerjaan Konstruksi,Pekerjaan Konstruksi Pembangunan RSUD Cakung,67284132,APBD,Ya,203592121600,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Pekerjaan Konstruksi Jaringan Pipa Air Limbah Jakarta Sewerage Development Project Zone 1 Paket 6 (Area 2-2),64853951,APBD,Tidak,171054770856,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,2026,Penyedia,Dikecualikan,Barang,Belanja Barang dan Jasa BOSP-BOS Reguler Penyediaan Dana Bantuan Operasional Sekolah (BOS) Reguler Jenjang SMP Negeri,64945813,APBD,Ya,159536975395,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Pembangunan Sistem Tata Air Pompa Cilincing KBN (Polder Sunter Timur II Kebantenan - KBN) Beserta Kelengkapannya,64842853,APBD,Ya,130590034717,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,2026,Penyedia,Dikecualikan,Barang,Belanja Barang dan Jasa BOSP-BOS Reguler Penyediaan Dana Bantuan Operasional Sekolah (BOS) Reguler Jenjang SMA Negeri,65101223,APBD,Ya,116957590463,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Revitalisasi dan Penataan DAS Polder Kamal Tahap I,67261274,APBD,Ya,109441440960,0.0,0.0,0.0,BELUM TEREALISASI
PROVINSI DKI JAKARTA,DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,2026,Penyedia,Pembayaran untuk Kontrak Tahun Jamak,Pekerjaan Konstruksi,Pembangunan Sistem Tata Air Pompa Kayu Putih (Polder Kayu Putih) dan Pompa Kampung Sawah (Polder Sunter Timur II Petukangan Cakung) Kelurahan Rawa Terate Beserta Kelengkapannya,64842887,APBD,Ya,107216192850,0.0,0.0,0.0,BELUM TEREALISASI
